flight_date,flight_status,departure.iata,departure.scheduled,arrival.iata,arrival.scheduled,flight.number,aircraft
2023-12-08,scheduled,NRT,2023-12-08T04:20:00+00:00,WEH,2023-12-08T05:55:00+00:00,3824,
2023-12-08,scheduled,TAS,2023-12-08T00:40:00+00:00,ALA,2023-12-08T03:10:00+00:00,130,
2023-12-08,scheduled,TAS,2023-12-08T00:30:00+00:00,RKT,2023-12-08T04:10:00+00:00,727,
2023-12-08,scheduled,BOM,2023-12-08T01:55:00+00:00,MRU,2023-12-08T06:30:00+00:00,241,
2023-12-08,scheduled,BOM,2023-12-08T01:50:00+00:00,DXB,2023-12-08T03:55:00+00:00,59,
2023-12-08,scheduled,BOM,2023-12-08T01:45:00+00:00,BLR,2023-12-08T03:20:00+00:00,2992,
2023-12-08,scheduled,BOM,2023-12-08T01:45:00+00:00,JFK,2023-12-08T06:55:00+00:00,119,
2023-12-08,scheduled,BOM,2023-12-08T01:40:00+00:00,EWR,2023-12-08T06:55:00+00:00,191,
2023-12-08,scheduled,BOM,2023-12-08T01:40:00+00:00,HKG,2023-12-08T09:35:00+00:00,660,
2023-12-08,scheduled,BOM,2023-12-08T01:40:00+00:00,HKG,2023-12-08T09:35:00+00:00,5624,
2023-12-08,scheduled,BOM,2023-12-08T01:40:00+00:00,HKG,2023-12-08T09:35:00+00:00,7912,
2023-12-08,scheduled,MGB,2023-12-08T06:55:00+00:00,ADL,2023-12-08T08:05:00+00:00,4612,
2023-12-08,scheduled,CCU,2023-12-08T00:05:00+00:00,BKK,2023-12-08T04:10:00+00:00,83,
2023-12-08,scheduled,WLG,2023-12-08T06:20:00+00:00,SYD,2023-12-08T08:00:00+00:00,7426,
2023-12-08,scheduled,GYD,2023-12-08T01:05:00+00:00,ZIA,2023-12-08T03:25:00+00:00,4708,
2023-12-08,scheduled,GYD,2023-12-08T00:50:00+00:00,TBS,2023-12-08T02:00:00+00:00,8239,
2023-12-08,scheduled,BOM,2023-12-08T02:10:00+00:00,CDG,2023-12-08T07:40:00+00:00,217,
2023-12-08,scheduled,BOM,2023-12-08T02:10:00+00:00,CDG,2023-12-08T07:40:00+00:00,2165,
2023-12-08,scheduled,BOM,2023-12-08T02:10:00+00:00,CDG,2023-12-08T07:40:00+00:00,8706,
2023-12-08,scheduled,BOM,2023-12-08T02:05:00+00:00,NBO,2023-12-08T05:40:00+00:00,1853,
2023-12-08,scheduled,BOM,2023-12-08T02:05:00+00:00,DXB,2023-12-08T04:00:00+00:00,1511,
2023-12-08,scheduled,BOM,2023-12-08T01:55:00+00:00,HYD,2023-12-08T03:20:00+00:00,192,
2023-12-08,scheduled,BOM,2023-12-08T01:55:00+00:00,HYD,2023-12-08T03:20:00+00:00,8285,
2023-12-08,scheduled,DVO,2023-12-08T03:00:00+00:00,MNL,2023-12-08T04:50:00+00:00,2808,
2023-12-08,scheduled,DVO,2023-12-08T03:00:00+00:00,MNL,2023-12-08T04:50:00+00:00,8914,
2023-12-08,scheduled,DVO,2023-12-08T03:00:00+00:00,MNL,2023-12-08T04:50:00+00:00,5526,
2023-12-08,scheduled,DVO,2023-12-08T02:30:00+00:00,SYD,2023-12-08T12:03:00+00:00,,
2023-12-08,scheduled,SYD,2023-12-08T00:25:00+00:00,MEL,2023-12-08T01:43:00+00:00,7445,
2023-12-08,scheduled,SYD,2023-12-08T07:10:00+00:00,OOL,2023-12-08T07:30:00+00:00,5402,
2023-12-08,scheduled,CHC,2023-12-08T09:15:00+00:00,ROT,2023-12-08T11:00:00+00:00,5788,
2023-12-08,scheduled,CHC,2023-12-08T09:10:00+00:00,BHE,2023-12-08T10:00:00+00:00,652,
2023-12-08,scheduled,CHC,2023-12-08T09:10:00+00:00,NPE,2023-12-08T10:45:00+00:00,5772,
2023-12-08,scheduled,SGC,2023-12-08T02:05:00+00:00,FRU,2023-12-08T06:15:00+00:00,502,
2023-12-08,scheduled,SGC,2023-12-08T01:50:00+00:00,KRO,2023-12-08T04:10:00+00:00,147,
2023-12-08,scheduled,AHB,2023-12-08T00:05:00+00:00,CAI,2023-12-08T01:35:00+00:00,444,
2023-12-08,scheduled,KUF,2023-12-08T00:25:00+00:00,LED,2023-12-08T01:45:00+00:00,1582,
2023-12-08,scheduled,DEL,2023-12-08T02:30:00+00:00,CCU,2023-12-08T04:35:00+00:00,5292,
2023-12-08,scheduled,GLT,2023-12-08T06:45:00+00:00,BNE,2023-12-08T07:55:00+00:00,7165,
2023-12-08,scheduled,BNE,2023-12-08T05:05:00+00:00,MEL,2023-12-08T08:25:00+00:00,4226,
2023-12-08,scheduled,BNE,2023-12-08T05:05:00+00:00,MEL,2023-12-08T08:25:00+00:00,6328,
2023-12-08,scheduled,BNE,2023-12-08T05:00:00+00:00,TSV,2023-12-08T06:50:00+00:00,7296,
2023-12-08,scheduled,BNE,2023-12-08T05:00:00+00:00,SYD,2023-12-08T07:35:00+00:00,501,
2023-12-08,scheduled,BNE,2023-12-08T05:00:00+00:00,SYD,2023-12-08T07:35:00+00:00,4062,
2023-12-08,scheduled,BNE,2023-12-08T05:00:00+00:00,SYD,2023-12-08T07:35:00+00:00,9046,
2023-12-08,scheduled,BNE,2023-12-08T05:00:00+00:00,SYD,2023-12-08T07:35:00+00:00,5901,
2023-12-08,scheduled,BNE,2023-12-08T05:00:00+00:00,SYD,2023-12-08T07:35:00+00:00,1701,
2023-12-08,scheduled,BNE,2023-12-08T05:00:00+00:00,SYD,2023-12-08T07:35:00+00:00,4591,
2023-12-08,scheduled,BNE,2023-12-08T05:00:00+00:00,SYD,2023-12-08T07:35:00+00:00,5501,
2023-12-08,scheduled,BNE,2023-12-08T04:35:00+00:00,TSV,2023-12-08T06:40:00+00:00,7332,
2023-12-08,scheduled,HBA,2023-12-08T06:00:00+00:00,MEL,2023-12-08T07:20:00+00:00,1006,
2023-12-08,scheduled,HBA,2023-12-08T06:00:00+00:00,MEL,2023-12-08T07:20:00+00:00,4105,
2023-12-08,scheduled,HBA,2023-12-08T06:00:00+00:00,MEL,2023-12-08T07:20:00+00:00,7118,
2023-12-08,scheduled,DMK,2023-12-08T01:30:00+00:00,CGK,2023-12-08T05:00:00+00:00,116,
2023-12-08,scheduled,MAJ,2023-12-08T06:35:00+00:00,HNL,2023-12-08T00:15:00+00:00,,
2023-12-08,scheduled,MAJ,2023-12-08T08:00:00+00:00,WTE,2023-12-08T08:50:00+00:00,8480,
2023-12-08,scheduled,SYD,2023-12-08T07:00:00+00:00,BNE,2023-12-08T07:30:00+00:00,6793,
2023-12-08,scheduled,AKL,2023-12-08T08:15:00+00:00,PMR,2023-12-08T09:25:00+00:00,5965,
2023-12-08,scheduled,NPL,2023-12-08T08:00:00+00:00,AKL,2023-12-08T08:50:00+00:00,8032,
2023-12-08,scheduled,NPL,2023-12-08T08:00:00+00:00,AKL,2023-12-08T08:50:00+00:00,4403,
2023-12-08,scheduled,BDD,2023-12-08T06:00:00+00:00,KUG,2023-12-08T06:10:00+00:00,2349,
2023-12-08,scheduled,AMD,2023-12-08T01:05:00+00:00,HAN,2023-12-08T07:15:00+00:00,1926,
2023-12-08,scheduled,AMD,2023-12-08T01:05:00+00:00,HAN,2023-12-08T07:15:00+00:00,4926,
2023-12-08,scheduled,AMD,2023-12-08T01:05:00+00:00,HAN,2023-12-08T07:15:00+00:00,3926,
2023-12-08,scheduled,AMD,2023-12-08T01:05:00+00:00,HAN,2023-12-08T07:15:00+00:00,5145,
2023-12-08,scheduled,AMD,2023-12-08T00:55:00+00:00,BKK,2023-12-08T06:55:00+00:00,344,
2023-12-08,scheduled,AMD,2023-12-08T00:55:00+00:00,BKK,2023-12-08T06:55:00+00:00,5344,
2023-12-08,scheduled,KUL,2023-12-08T02:40:00+00:00,PUS,2023-12-08T09:45:00+00:00,518,
2023-12-08,scheduled,DPO,2023-12-08T07:30:00+00:00,KNS,2023-12-08T08:15:00+00:00,,
2023-12-08,scheduled,BWT,2023-12-08T08:00:00+00:00,KNS,2023-12-08T08:35:00+00:00,892,
2023-12-08,scheduled,ALA,2023-12-08T01:30:00+00:00,HKT,2023-12-08T09:30:00+00:00,563,
2023-12-08,scheduled,ALA,2023-12-08T01:25:00+00:00,BKK,2023-12-08T08:55:00+00:00,931,
2023-12-08,scheduled,ALA,2023-12-08T01:25:00+00:00,BKK,2023-12-08T08:55:00+00:00,6223,
2023-12-08,scheduled,ALA,2023-12-08T01:15:00+00:00,ICN,2023-12-08T09:55:00+00:00,909,
2023-12-08,scheduled,ALA,2023-12-08T01:15:00+00:00,ICN,2023-12-08T09:55:00+00:00,6962,
2023-12-08,scheduled,ALA,2023-12-08T01:15:00+00:00,ICN,2023-12-08T09:55:00+00:00,6231,
2023-12-08,scheduled,HND,2023-12-08T05:00:00+00:00,TPE,2023-12-08T07:55:00+00:00,217,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,BNE,2023-12-08T07:10:00+00:00,201,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,BNE,2023-12-08T07:10:00+00:00,8763,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,BNE,2023-12-08T07:10:00+00:00,4306,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,BNE,2023-12-08T07:10:00+00:00,4412,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,BNE,2023-12-08T07:10:00+00:00,5168,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,BNE,2023-12-08T07:10:00+00:00,3209,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,BNE,2023-12-08T07:10:00+00:00,6121,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,SYD,2023-12-08T07:50:00+00:00,221,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,SYD,2023-12-08T07:50:00+00:00,8765,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,SYD,2023-12-08T07:50:00+00:00,4820,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,SYD,2023-12-08T07:50:00+00:00,4317,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,SYD,2023-12-08T07:50:00+00:00,6553,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,SYD,2023-12-08T07:50:00+00:00,7967,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,SYD,2023-12-08T07:50:00+00:00,4413,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,SYD,2023-12-08T07:50:00+00:00,5123,
2023-12-08,scheduled,CHC,2023-12-08T06:15:00+00:00,SYD,2023-12-08T07:50:00+00:00,6117,
2023-12-08,scheduled,CHC,2023-12-08T06:10:00+00:00,MEL,2023-12-08T07:55:00+00:00,132,
2023-12-08,scheduled,CHC,2023-12-08T06:10:00+00:00,MEL,2023-12-08T07:55:00+00:00,5070,
2023-12-08,scheduled,PNH,2023-12-08T00:45:00+00:00,MNL,2023-12-08T04:35:00+00:00,522,
2023-12-08,scheduled,PNH,2023-12-08T00:30:00+00:00,ICN,2023-12-08T07:40:00+00:00,215,
2023-12-08,scheduled,PNH,2023-12-08T00:30:00+00:00,ICN,2023-12-08T07:30:00+00:00,740,
2023-12-08,scheduled,PNH,2023-12-08T00:30:00+00:00,ICN,2023-12-08T07:30:00+00:00,7296,
2023-12-08,scheduled,PNH,2023-12-08T00:20:00+00:00,ICN,2023-12-08T07:20:00+00:00,690,
2023-12-08,scheduled,PNH,2023-12-08T00:20:00+00:00,ICN,2023-12-08T07:20:00+00:00,7880,
2023-12-08,scheduled,PNH,2023-12-08T00:15:00+00:00,PVG,2023-12-08T05:20:00+00:00,760,
2023-12-08,scheduled,SIN,2023-12-08T02:05:00+00:00,FCO,2023-12-08T08:10:00+00:00,366,
2023-12-08,scheduled,SIN,2023-12-08T02:05:00+00:00,NNG,2023-12-08T05:50:00+00:00,3818,
2023-12-08,scheduled,SIN,2023-12-08T02:00:00+00:00,MNL,2023-12-08T05:55:00+00:00,763,
2023-12-08,scheduled,SIN,2023-12-08T02:00:00+00:00,SYD,2023-12-08T13:00:00+00:00,2,
2023-12-08,scheduled,SIN,2023-12-08T02:00:00+00:00,ADD,2023-12-08T06:10:00+00:00,639,
2023-12-08,scheduled,SIN,2023-12-08T02:00:00+00:00,DOH,2023-12-08T05:00:00+00:00,945,
2023-12-08,scheduled,SIN,2023-12-08T02:00:00+00:00,TPE,2023-12-08T06:40:00+00:00,756,
2023-12-08,scheduled,SIN,2023-12-08T01:50:00+00:00,SZX,2023-12-08T07:25:00+00:00,7604,
2023-12-08,scheduled,SIN,2023-12-08T01:50:00+00:00,IST,2023-12-08T08:25:00+00:00,392,
2023-12-08,scheduled,SIN,2023-12-08T01:50:00+00:00,SZX,2023-12-08T05:35:00+00:00,7072,
2023-12-08,scheduled,SIN,2023-12-08T01:45:00+00:00,ICN,2023-12-08T08:55:00+00:00,754,
2023-12-08,scheduled,SIN,2023-12-08T01:40:00+00:00,TAO,2023-12-08T07:30:00+00:00,186,
2023-12-08,scheduled,SIN,2023-12-08T01:40:00+00:00,AMS,2023-12-08T08:30:00+00:00,836,
2023-12-08,scheduled,SIN,2023-12-08T01:30:00+00:00,KIX,2023-12-08T08:35:00+00:00,618,
2023-12-08,scheduled,SIN,2023-12-08T01:30:00+00:00,JNB,2023-12-08T06:10:00+00:00,478,
2023-12-08,scheduled,SIN,2023-12-08T01:30:00+00:00,ZRH,2023-12-08T07:50:00+00:00,346,
2023-12-08,scheduled,SIN,2023-12-08T01:30:00+00:00,ICN,2023-12-08T08:50:00+00:00,646,
2023-12-08,scheduled,SIN,2023-12-08T01:30:00+00:00,TSN,2023-12-08T07:25:00+00:00,138,
2023-12-08,scheduled,SIN,2023-12-08T01:25:00+00:00,HGH,2023-12-08T05:45:00+00:00,9032,
2023-12-08,scheduled,SIN,2023-12-08T01:25:00+00:00,CGO,2023-12-08T06:50:00+00:00,116,
2023-12-08,scheduled,SIN,2023-12-08T01:25:00+00:00,SZX,2023-12-08T05:40:00+00:00,7348,
2023-12-08,scheduled,HAN,2023-12-08T02:40:00+00:00,WUH,2023-12-08T05:55:00+00:00,7222,
2023-12-08,scheduled,HAN,2023-12-08T02:25:00+00:00,PVG,2023-12-08T06:25:00+00:00,5076,
2023-12-08,scheduled,HAN,2023-12-08T02:10:00+00:00,DWC,2023-12-08T06:35:00+00:00,9223,
2023-12-08,scheduled,NSN,2023-12-08T08:10:00+00:00,CHC,2023-12-08T09:05:00+00:00,4525,
2023-12-08,scheduled,HGH,2023-12-08T02:15:00+00:00,HAN,2023-12-08T03:50:00+00:00,9011,
2023-12-08,scheduled,HGH,2023-12-08T02:10:00+00:00,HAN,2023-12-08T04:40:00+00:00,9043,
2023-12-08,scheduled,HGH,2023-12-08T02:10:00+00:00,CTU,2023-12-08T04:35:00+00:00,7004,
2023-12-08,scheduled,TIU,2023-12-08T06:50:00+00:00,WLG,2023-12-08T08:05:00+00:00,8190,
2023-12-08,scheduled,NSN,2023-12-08T07:15:00+00:00,WLG,2023-12-08T08:00:00+00:00,348,
2023-12-08,scheduled,BHE,2023-12-08T07:30:00+00:00,WLG,2023-12-08T08:00:00+00:00,8720,
2023-12-08,scheduled,WLG,2023-12-08T07:40:00+00:00,AKL,2023-12-08T08:45:00+00:00,250,
2023-12-08,scheduled,WLG,2023-12-08T07:40:00+00:00,AKL,2023-12-08T08:45:00+00:00,5532,
2023-12-08,scheduled,WLG,2023-12-08T07:40:00+00:00,AKL,2023-12-08T08:45:00+00:00,9038,
2023-12-08,scheduled,WLG,2023-12-08T07:40:00+00:00,AKL,2023-12-08T08:45:00+00:00,7475,
2023-12-08,scheduled,WLG,2023-12-08T07:40:00+00:00,AKL,2023-12-08T08:45:00+00:00,4972,
2023-12-08,scheduled,WLG,2023-12-08T07:30:00+00:00,BHE,2023-12-08T08:00:00+00:00,281,
2023-12-08,scheduled,SVX,2023-12-08T01:25:00+00:00,NSK,2023-12-08T06:30:00+00:00,918,
2023-12-08,scheduled,CBR,2023-12-08T08:00:00+00:00,MRZ,2023-12-08T10:07:00+00:00,,
2023-12-08,scheduled,CBR,2023-12-08T07:55:00+00:00,SYD,2023-12-08T08:55:00+00:00,631,
2023-12-08,scheduled,CBR,2023-12-08T07:50:00+00:00,MEL,2023-12-08T09:00:00+00:00,1513,
2023-12-08,scheduled,CBR,2023-12-08T07:50:00+00:00,MEL,2023-12-08T09:00:00+00:00,4086,
2023-12-08,scheduled,CBR,2023-12-08T07:50:00+00:00,MEL,2023-12-08T09:00:00+00:00,7057,
2023-12-08,scheduled,CBR,2023-12-08T07:50:00+00:00,MEL,2023-12-08T09:00:00+00:00,5339,
2023-12-08,scheduled,PVG,2023-12-08T00:10:00+00:00,MUC,2023-12-08T06:40:00+00:00,727,
2023-12-08,scheduled,CTU,2023-12-08T00:55:00+00:00,SZX,2023-12-08T03:25:00+00:00,7329,
2023-12-08,scheduled,CTU,2023-12-08T00:25:00+00:00,NKG,2023-12-08T02:50:00+00:00,9095,
2023-12-08,scheduled,CTU,2023-12-08T00:10:00+00:00,HGH,2023-12-08T05:50:00+00:00,7003,
2023-12-08,active,ADL,2023-12-08T01:00:00+00:00,PLO,2023-12-08T01:39:00+00:00,,
2023-12-08,scheduled,SVO,2023-12-08T00:05:00+00:00,MSQ,2023-12-08T01:45:00+00:00,1834,
2023-12-08,scheduled,SVO,2023-12-08T00:05:00+00:00,RGK,2023-12-08T08:35:00+00:00,1524,
2023-12-08,scheduled,SVO,2023-12-08T00:05:00+00:00,BHK,2023-12-08T06:10:00+00:00,1876,
2023-12-08,scheduled,MYA,2023-12-08T07:35:00+00:00,SYD,2023-12-08T08:35:00+00:00,6114,
2023-12-08,scheduled,MYA,2023-12-08T07:40:00+00:00,MIM,2023-12-08T08:06:00+00:00,,
2023-12-08,active,ADL,2023-12-08T00:10:00+00:00,CED,2023-12-08T01:39:00+00:00,568,
2023-12-08,scheduled,BWU,2023-12-08T06:30:00+00:00,MYA,2023-12-08T07:19:00+00:00,,
2023-12-08,scheduled,ADL,2023-12-08T07:00:00+00:00,DRW,2023-12-08T09:40:00+00:00,5692,
2023-12-08,scheduled,ADL,2023-12-08T07:00:00+00:00,DRW,2023-12-08T09:40:00+00:00,692,
2023-12-08,scheduled,ADL,2023-12-08T07:00:00+00:00,BHQ,2023-12-08T08:15:00+00:00,4818,
2023-12-08,scheduled,ADL,2023-12-08T07:05:00+00:00,MEL,2023-12-08T08:50:00+00:00,7005,
2023-12-08,scheduled,ADL,2023-12-08T07:05:00+00:00,MEL,2023-12-08T08:50:00+00:00,5087,
2023-12-08,scheduled,ADL,2023-12-08T07:05:00+00:00,MEL,2023-12-08T08:50:00+00:00,4040,
2023-12-08,scheduled,ADL,2023-12-08T07:05:00+00:00,MEL,2023-12-08T08:50:00+00:00,672,
2023-12-08,scheduled,ADL,2023-12-08T07:15:00+00:00,ASP,2023-12-08T08:25:00+00:00,5723,
2023-12-08,scheduled,ADL,2023-12-08T07:15:00+00:00,ASP,2023-12-08T08:25:00+00:00,7161,
2023-12-08,scheduled,ADL,2023-12-08T07:15:00+00:00,ASP,2023-12-08T08:25:00+00:00,1954,
2023-12-08,scheduled,ADL,2023-12-08T07:15:00+00:00,MEL,2023-12-08T09:05:00+00:00,6500,
2023-12-08,scheduled,ADL,2023-12-08T07:15:00+00:00,MEL,2023-12-08T09:05:00+00:00,6935,
2023-12-08,scheduled,ADL,2023-12-08T07:15:00+00:00,MEL,2023-12-08T09:05:00+00:00,208,
2023-12-08,scheduled,ADL,2023-12-08T07:25:00+00:00,PER,2023-12-08T08:55:00+00:00,80,
2023-12-08,scheduled,OVB,2023-12-08T03:30:00+00:00,MJZ,2023-12-08T08:30:00+00:00,5243,
2023-12-08,scheduled,OVB,2023-12-08T03:40:00+00:00,TLK,2023-12-08T08:25:00+00:00,5357,
2023-12-08,active,MEL,2023-12-08T01:25:00+00:00,MNL,2023-12-08T06:45:00+00:00,50,
2023-12-08,scheduled,HKG,2023-12-08T00:20:00+00:00,MAD,2023-12-08T08:20:00+00:00,1961,
2023-12-08,scheduled,HKG,2023-12-08T00:15:00+00:00,DWC,2023-12-08T05:00:00+00:00,2067,
2023-12-08,scheduled,HKG,2023-12-08T00:15:00+00:00,FRA,2023-12-08T07:05:00+00:00,289,
2023-12-08,scheduled,HKG,2023-12-08T00:15:00+00:00,FRA,2023-12-08T07:05:00+00:00,7015,
2023-12-08,scheduled,ICN,2023-12-08T00:30:00+00:00,ADD,2023-12-08T07:45:00+00:00,673,
2023-12-08,active,ICN,2023-12-08T00:15:00+00:00,IST,2023-12-08T06:15:00+00:00,91,
2023-12-08,active,ICN,2023-12-08T00:15:00+00:00,DOH,2023-12-08T05:10:00+00:00,859,
2023-12-08,landed,CNS,2023-12-08T07:00:00+00:00,CTN,2023-12-07T07:38:00+00:00,425,
2023-12-08,scheduled,FRU,2023-12-08T01:05:00+00:00,OSS,2023-12-08T01:45:00+00:00,131,
2023-12-08,scheduled,BNE,2023-12-08T06:15:00+00:00,PER,2023-12-08T09:40:00+00:00,7511,
2023-12-08,active,AKL,2023-12-08T01:10:00+00:00,KUL,2023-12-08T07:50:00+00:00,7170,
2023-12-08,active,AKL,2023-12-08T01:10:00+00:00,KUL,2023-12-08T07:50:00+00:00,8928,
2023-12-08,scheduled,SIN,2023-12-08T00:55:00+00:00,MEL,2023-12-08T11:40:00+00:00,18,
2023-12-08,scheduled,BKK,2023-12-08T03:05:00+00:00,CCU,2023-12-08T04:10:00+00:00,321,
2023-12-08,active,MEL,2023-12-08T00:30:00+00:00,KUL,2023-12-08T05:45:00+00:00,5554,
2023-12-08,scheduled,UPG,2023-12-08T05:00:00+00:00,DPS,2023-12-08T06:20:00+00:00,727,
2023-12-08,scheduled,ADL,2023-12-08T06:10:00+00:00,MEL,2023-12-08T08:00:00+00:00,6510,
2023-12-08,scheduled,BNE,2023-12-08T06:35:00+00:00,SYD,2023-12-08T09:10:00+00:00,2810,
2023-12-08,scheduled,HKG,2023-12-08T01:15:00+00:00,NRT,2023-12-08T06:15:00+00:00,6,
2023-12-08,scheduled,ICN,2023-12-08T02:30:00+00:00,DLI,2023-12-08T05:50:00+00:00,4532,
2023-12-08,scheduled,NPL,2023-12-08T08:00:00+00:00,AKL,2023-12-08T08:50:00+00:00,8503,
2023-12-08,scheduled,NGB,2023-12-08T00:50:00+00:00,KIX,2023-12-08T04:20:00+00:00,4115,
2023-12-08,scheduled,MAJ,2023-12-08T07:00:00+00:00,UTK,2023-12-08T08:20:00+00:00,464,
2023-12-08,scheduled,CGO,2023-12-08T02:40:00+00:00,STN,2023-12-08T11:10:00+00:00,9734,
2023-12-08,scheduled,PVG,2023-12-08T02:05:00+00:00,WUH,2023-12-08T04:15:00+00:00,7917,
2023-12-08,scheduled,CBR,2023-12-08T07:30:00+00:00,SYD,2023-12-08T08:25:00+00:00,5908,
2023-12-08,scheduled,SYD,2023-12-08T07:00:00+00:00,MEL,2023-12-08T08:35:00+00:00,505,
2023-12-08,scheduled,CMB,2023-12-08T01:15:00+00:00,BKK,2023-12-08T06:20:00+00:00,4198,
2023-12-08,active,AKL,2023-12-08T01:10:00+00:00,KUL,2023-12-08T07:50:00+00:00,132,
2023-12-08,scheduled,BKK,2023-12-08T00:35:00+00:00,ZRH,2023-12-08T06:55:00+00:00,8390,
2023-12-08,scheduled,BKK,2023-12-08T00:35:00+00:00,ZRH,2023-12-08T06:55:00+00:00,4301,
2023-12-08,scheduled,BKK,2023-12-08T00:35:00+00:00,ZRH,2023-12-08T06:55:00+00:00,7406,
2023-12-08,scheduled,GUM,2023-12-08T02:40:00+00:00,ICN,2023-12-08T06:08:00+00:00,,
2023-12-08,active,AKL,2023-12-08T01:20:00+00:00,SIN,2023-12-08T06:45:00+00:00,9753,
2023-12-08,scheduled,AKL,2023-12-08T08:00:00+00:00,CHC,2023-12-08T09:25:00+00:00,4693,
2023-12-08,scheduled,AKL,2023-12-08T08:00:00+00:00,CHC,2023-12-08T09:25:00+00:00,3337,
2023-12-08,scheduled,AKL,2023-12-08T09:20:00+00:00,BNE,2023-12-08T09:55:00+00:00,145,
2023-12-08,scheduled,PEK,2023-12-08T00:55:00+00:00,MEL,2023-12-08T15:45:00+00:00,3881,
2023-12-08,scheduled,SZX,2023-12-08T00:10:00+00:00,HAK,2023-12-08T01:25:00+00:00,9936,
2023-12-08,scheduled,OVB,2023-12-08T02:55:00+00:00,MJZ,2023-12-08T07:45:00+00:00,592,
2023-12-08,scheduled,BNE,2023-12-08T07:00:00+00:00,RMA,2023-12-08T08:15:00+00:00,5716,
2023-12-08,scheduled,HKG,2023-12-08T01:30:00+00:00,ICN,2023-12-08T05:55:00+00:00,2108,
2023-12-08,scheduled,WEH,2023-12-08T00:15:00+00:00,ICN,2023-12-08T02:00:00+00:00,3809,
2023-12-08,scheduled,ADD,2023-12-08T00:05:00+00:00,FCO,2023-12-08T04:35:00+00:00,7726,
2023-12-08,scheduled,BOM,2023-12-08T00:30:00+00:00,EBB,2023-12-08T04:50:00+00:00,501,
